TimePeriod,GeoType,GeoID,GeoRank,Geography,Number,Percent
2022,UHF34,101,3,Kingsbridge - Riverdale,"25,000*","37.7* (26.0, 50.9)"
2022,UHF34,102,3,Northeast Bronx,"54,000","35.2 (26.5, 45.0)"
2022,UHF34,103,3,Fordham - Bronx Pk,"59,000","35.3 (27.5, 43.9)"
2022,UHF34,104,3,Pelham - Throgs Neck,"81,000","37.0 (29.8, 44.8)"
2022,UHF34,201,3,Greenpoint,"19,000","17.2 (10.1, 27.6)"
2022,UHF34,202,3,Downtown - Heights - Slope,"39,000","19.3 (13.9, 26.1)"
2022,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"71,000","27.6 (21.2, 35.0)"
2022,UHF34,204,3,East New York,"62,000*","44.2* (32.8, 56.3)"
2022,UHF34,205,3,Sunset Park,"19,000*","23.7* (13.9, 37.6)"
2022,UHF34,206,3,Borough Park,"40,000","19.8 (13.2, 28.6)"
2022,UHF34,207,3,East Flatbush - Flatbush,"79,000","33.6 (25.7, 42.5)"
2022,UHF34,208,3,Canarsie - Flatlands,"54,000*","34.1* (24.2, 45.7)"
2022,UHF34,209,3,Bensonhurst - Bay Ridge,"34,000","20.7 (13.3, 30.8)"
2022,UHF34,210,3,Coney Island - Sheepshead Bay,"55,000","24.3 (17.5, 32.6)"
2022,UHF34,211,3,Williamsburg - Bushwick,"41,000","23.8 (16.5, 33.0)"
2022,UHF34,301,3,Washington Heights,"78,000*","36.4* (26.5, 47.7)"
2022,UHF34,302,3,Central Harlem - Morningside Heights,"44,000*","32.3* (21.7, 45.1)"
2022,UHF34,303,3,East Harlem,"34,000*","39.2* (28.2, 51.4)"
2022,UHF34,304,3,Upper West Side,"26,000","13.9 (8.6, 21.9)"
2022,UHF34,401,3,Long Island City - Astoria,"36,000","20.7 (14.5, 28.6)"
2022,UHF34,402,3,West Queens,"90,000","25.9 (18.3, 35.1)"
2022,UHF34,403,3,Flushing - Clearview,"32,000","15.5 (9.7, 23.9)"
2022,UHF34,405,3,Ridgewood - Forest Hills,"56,000","26.7 (18.8, 36.3)"
2022,UHF34,407,3,Southwest Queens,"60,000","26.8 (20.0, 34.8)"
2022,UHF34,408,3,Jamaica,"72,000","30.2 (21.8, 40.2)"
2022,UHF34,409,3,Southeast Queens,"60,000*","35.5* (25.3, 47.2)"
2022,UHF34,410,3,Rockaways,"24,000","28.4 (20.5, 37.8)"
2022,UHF34,305307,3,Upper East Side-Gramercy,"26,000","9.0 (5.3, 14.9)"
2022,UHF34,306308,3,Chelsea-Village  ,"28,000","13.5 (8.2, 21.4)"
2022,UHF34,309310,3,Union Square-Lower Manhattan,"30,000","15.6 (10.4, 22.7)"
2022,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"23,000","16.4 (11.1, 23.6)"
2022,UHF34,501502,3,Northern SI,"52,000*","35.3* (23.7, 48.9)"
2022,UHF34,503504,3,Southern SI,"68,000","31.4 (24.6, 39.2)"
2022,UHF34,105106107,3,South Bronx,"144,000","39.4 (33.2, 46.0)"
2022,Borough,1,1,Bronx,"363,000","37.4 (33.8, 41.1)"
